ETF이름,링크,ETF코드,운용사,수수료,시가총액(억 원),수익률,,,,구성종목 TOP 10,,,,,,,,,,,,,,,,,,,
TIGER 베타플러스,https://finance.naver.com/item/coinfo.nhn?code=170350,170350,미래에셋자산운용,0.400,85,-3.56,23.24,44.62,68.74, 삼성전자 ,24.21, SK하이닉스 ,16.10, 삼성SDI ,7.32, 현대차 ,7.05, 기아차 ,4.21, 현대모비스 ,4.07, KB금융 ,2.96, 신한지주 ,2.95, 삼성물산 ,2.48, 삼성전기 ,2.16
TIGER 배당성장,https://finance.naver.com/item/coinfo.nhn?code=211560,211560,미래에셋자산운용,0.150,71,-2.39,13.42,25.49,41.81, 현대차 ,5.46, 한국금융지주 ,4.95, 효성 ,4.43, 휴켐스 ,4.26, 메리츠화재 ,4.06, 금호석유 ,4.02, 롯데케미칼 ,3.96, 현대글로비스 ,3.67, NH투자증권 ,3.24, SK가스 ,3.00
TIGER 방송통신,https://finance.naver.com/item/coinfo.nhn?code=098560,098560,미래에셋자산운용,0.460,59,0.12,12.50,11.05,6.45, SK텔레콤 ,19.04, KT ,18.33, LG유플러스 ,16.46, 세종텔레콤 ,7.74, 인스코비 ,6.89, SBS ,6.77, 케이아이엔엑스 ,5.92, 스카이라이프 ,5.51, LG헬로비전 ,4.34, 현대퓨처넷 ,3.61
TIGER 반도체,https://finance.naver.com/item/coinfo.nhn?code=091230,091230,미래에셋자산운용,0.460,1267,-4.14,24.34,35.90,37.77, SK하이닉스 ,24.35, DB하이텍 ,7.29, 원익IPS ,6.03, 리노공업 ,5.85, 고영 ,4.19, 티씨케이 ,3.64, 이오테크닉스 ,3.12, 서울반도체 ,2.76, 실리콘웍스 ,2.58, 네패스 ,2.38
TIGER 미디어컨텐츠,https://finance.naver.com/item/coinfo.nhn?code=228810,228810,미래에셋자산운용,0.500,379,-6.40,17.69,19.40,24.86, 빅히트 ,11.88, CJ CGV ,9.58, JYP Ent. ,9.58, 에스엠 ,9.51, 와이지엔터테인먼트 ,9.36, 스튜디오드래곤 ,8.98, CJ ENM ,7.96, 제이콘텐트리 ,7.50, 초록뱀 ,5.30, 지니뮤직 ,3.20
TIGER 미국S&P500선물인버스(H),https://finance.naver.com/item/coinfo.nhn?code=225030,225030,미래에셋자산운용,0.590,100,-0.45,-5.54,-12.00,-27.06, PROSHARES SHORT S&P500 ,, S&P500 EMINI FUT MAR 2021 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 미국S&P500선물(H),https://finance.naver.com/item/coinfo.nhn?code=143850,143850,미래에셋자산운용,0.300,1438,-0.04,5.29,11.20,21.05, ISHARES CORE S&P 500 ETF ,, SPDR S&P 500 ETF TRUST ,, S&P500 EMINI FUT MAR 2021 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 미국S&P500레버리지(합성 H),https://finance.naver.com/item/coinfo.nhn?code=225040,225040,미래에셋자산운용,0.580,912,-0.67,9.96,21.46,32.20, 스왑(한국투자증권)_490161 ,, 스왑(메리츠증권)_490161 ,, 스왑(미래에셋대우)_490161 ,, TIGER 미국S&P500선물(H) ,, SPDR S&P 500 ETF TRUST ,, 설정현금액 ,, 원화현금 ,
TIGER 미국S&P500,https://finance.naver.com/item/coinfo.nhn?code=360750,360750,미래에셋자산운용,0.070,1528,1.50,7.37,5.45,, APPLE INC ,, GENERAL ELECTRIC CO ,, BANK OF AMERICA CORP ,, MICROSOFT CORP ,, AT&T INC ,, PFIZER INC ,, COMCAST CORP-CLASS A ,, CISCO SYSTEMS INC ,, EXXON MOBIL CORP ,, VERIZON COMMUNICATIONS INC ,
TIGER 미국MSCI리츠(합성 H),https://finance.naver.com/item/coinfo.nhn?code=182480,182480,미래에셋자산운용,0.240,689,5.48,7.33,12.91,-5.37, 스왑(한국투자증권)_490148 ,, 스왑(메리츠증권)_490148 ,, JPM BETABLDRS MSCI US REIT ,, 설정현금액 ,, 원화현금 ,
TIGER 미국채10년선물,https://finance.naver.com/item/coinfo.nhn?code=305080,305080,미래에셋자산운용,0.290,482,-1.29,-1.46,-9.00,-6.79, US 10YR NOTE (CBT)Jun21 ,, [USD] 예금 ,, 설정현금액 ,, 원화현금 ,
TIGER 미국달러선물인버스2X,https://finance.naver.com/item/coinfo.nhn?code=261120,261120,미래에셋자산운용,0.470,129,-2.55,-3.40,10.51,11.75, KOSEF 미국달러선물인버스2X ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 미국달러선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=261110,261110,미래에셋자산운용,0.470,74,2.96,3.13,-10.26,-14.22, 미국달러 F 202103 ,, [USD] 예금 ,, 설정현금액 ,, 원화현금 ,
TIGER 미국달러단기채권액티브,https://finance.naver.com/item/coinfo.nhn?code=329750,329750,미래에셋자산운용,0.300,377,1.64,1.74,-5.54,-7.41, KDB 4 ⅝ 11/16/21 CORP ,, T 1 3/8 05/31/21 ,, T 1 5/8 06/30/21 ,, T 2 ⅝ 05/15/21 GOVT ,, APPLE INC ,, MICROSOFT CORP ,, 설정현금액 ,, 원화현금 ,
TIGER 미국다우존스30,https://finance.naver.com/item/coinfo.nhn?code=245340,245340,미래에셋자산운용,0.350,461,3.74,6.79,6.04,7.89, 3M CO ,, AMERICAN EXPRESS CO ,, AMGEN INC ,, APPLE INC ,, BOEING CO/THE ,, CATERPILLAR INC ,, CHEVRON CORP ,, CISCO SYSTEMS INC ,, COCA-COLA CO/THE ,, DOW INC ,
TIGER 미국나스닥바이오,https://finance.naver.com/item/coinfo.nhn?code=203780,203780,미래에셋자산운용,0.300,302,-4.80,12.61,9.33,21.72, GILEAD SCIENCES INC ,, OPKO HEALTH INC ,, ASTRAZENECA PLC-SPONS ADR ,, AMGEN INC ,, MODERNA INC ,, ROYALTY PHARMA PLC- CL A ,, AMARIN CORP PLC -ADR ,, EXELIXIS INC ,, GERON CORP ,, THERAPEUTICSMD INC ,
TIGER 미국나스닥100,https://finance.naver.com/item/coinfo.nhn?code=133690,133690,미래에셋자산운용,0.070,6296,-3.41,6.42,2.83,32.41, APPLE INC ,, MICROSOFT CORP ,, COMCAST CORP-CLASS A ,, SIRIUS XM HOLDINGS INC ,, CISCO SYSTEMS INC ,, INTEL CORP ,, FACEBOOK INC-CLASS A ,, MONDELEZ INTERNATIONAL INC-A ,, KEURIG DR PEPPER INC ,, PEPSICO INC ,
TIGER 모멘텀,https://finance.naver.com/item/coinfo.nhn?code=147970,147970,미래에셋자산운용,0.290,73,-2.22,16.55,18.28,33.45, 대한유화 ,4.25, 한솔케미칼 ,4.14, 금호석유 ,4.05, 풍산 ,3.99, NAVER ,3.89, 한국타이어앤테크놀로지 ,3.87, 한국철강 ,3.63, SK하이닉스 ,3.56, 카카오 ,3.55, 기아차 ,3.54
TIGER 로우볼,https://finance.naver.com/item/coinfo.nhn?code=174350,174350,미래에셋자산운용,0.400,77,-1.14,6.34,16.76,15.52, KT ,3.34, JB금융지주 ,3.26, LG ,3.20, 코리안리 ,3.02, 에스원 ,3.01, 신한지주 ,2.94, 삼성전자 ,2.73, SK텔레콤 ,2.73, 현대모비스 ,2.68, KT&G ,2.60
TIGER 레버리지,https://finance.naver.com/item/coinfo.nhn?code=123320,123320,미래에셋자산운용,0.090,293,-7.28,37.87,72.43,101.99, TIGER 200 ,, 삼성전자 ,, SK하이닉스 ,, 우리금융지주 ,, 삼성중공업 ,, 신한지주 ,, KB금융 ,, 미래에셋대우 ,, 한화생명 ,, 한국전력 ,
TIGER 라틴35,https://finance.naver.com/item/coinfo.nhn?code=105010,105010,미래에셋자산운용,0.490,84,-2.27,3.25,14.81,-15.24, AMBEV SA-ADR ,, ITAU UNIBANCO H-SPON PRF ADR ,, BANCO BRADESCO-ADR ,, VALE SA-SP ADR ,, PETROLEO BRASIL-SP PREF  ADR ,, CEMEX SAB-SPONS ADR PART CER ,, PETROLEO BRASILEIRO-SPON ADR ,, GERDAU SA -SPON ADR ,, CIA ENERGETICA DE-SPON ADR ,, AMERICA MOVIL-SPN ADR CL L ,
TIGER 대형성장,https://finance.naver.com/item/coinfo.nhn?code=292100,292100,미래에셋자산운용,0.290,64,-4.46,14.78,22.56,48.61, 삼성전자 ,20.38, NAVER ,10.28, SK하이닉스 ,8.16, 셀트리온 ,6.68, 카카오 ,6.35, LG화학 ,3.99, 삼성SDI ,3.66, LG생활건강 ,3.05, 삼성바이오로직스 ,2.67, 셀트리온헬스케어 ,2.55
TIGER 대형가치,https://finance.naver.com/item/coinfo.nhn?code=292110,292110,미래에셋자산운용,0.290,61,-4.48,19.47,36.98,44.56, 삼성전자 ,24.86, SK하이닉스 ,6.97, 현대차 ,6.11, LG화학 ,3.41, POSCO ,3.10, 삼성SDI ,3.10, LG전자 ,2.89, KB금융 ,2.56, 신한지주 ,2.55, SK이노베이션 ,2.48
TIGER 단기통안채,https://finance.naver.com/item/coinfo.nhn?code=157450,157450,미래에셋자산운용,0.090,8747,0.04,0.14,0.24,0.65, 통화안정증권00590-2107-01 ,, 통화안정증권DC021-0406-1820 ,, 통화안정증권DC021-0601-1820 ,, 통화안정증권DC021-0803-1820 ,, 설정현금액 ,, 원화현금 ,
TIGER 단기채권액티브,https://finance.naver.com/item/coinfo.nhn?code=272580,272580,미래에셋자산운용,0.070,1645,0.07,0.13,0.28,0.86, 국민은행4004이표일(03)1-6(사 ,, 중소기업은행(신)1909이1.5A-19 ,, 통화안정증권01180-2108-02 ,, 통화안정증권01740-2104-02 ,, 통화안정증권DC021-0601-1820 ,, 설정현금액 ,, 원화현금 ,
TIGER 단기선진하이일드(합성 H),https://finance.naver.com/item/coinfo.nhn?code=182490,182490,미래에셋자산운용,0.240,232,-0.04,2.22,5.22,2.18, 스왑(한국투자증권)_490150 ,, 스왑(신한금융투자)_490150 ,, ISHARES 0-5 YR HY CORP BOND ,, 설정현금액 ,, 원화현금 ,
TIGER 농산물선물Enhanced(H),https://finance.naver.com/item/coinfo.nhn?code=137610,137610,미래에셋자산운용,0.690,515,5.54,17.09,35.87,27.11, TEUCRIUM CORN FUND ,, KODEX 콩선물(H) ,, CORN FUTURE       Jul21 ,, WHEAT FUTURE(CBT) Dec21 ,, SUGAR #11 (WORLD) Mar22 ,, SOYBEAN FUTURE    May21 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 금은선물(H),https://finance.naver.com/item/coinfo.nhn?code=139320,139320,미래에셋자산운용,0.690,77,-3.92,-1.24,-8.29,5.57, TIGER 골드선물(H) ,, ISHARES SILVER TRUST ,, SPDR GOLD SHARES ,, GOLD 100 OZ FUTR  Apr21 ,, SILVER FUTURE     May21 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 금속선물(H),https://finance.naver.com/item/coinfo.nhn?code=139310,139310,미래에셋자산운용,0.690,39,13.28,20.43,32.48,41.13, TIGER 구리실물 ,, ALUMINIUM 3MO ($) (LME) APR 021 ,, COPPER 3MO ($) (LME) APR 021 ,, NICKEL 3MO ($) (LME) APR 021 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 글로벌클라우드컴퓨팅INDXX,https://finance.naver.com/item/coinfo.nhn?code=371450,371450,미래에셋자산운용,0.490,401,-4.05,,,, Indxx Global Cloud Computing Index TRS 2 ,, GLOBAL X CLOUD COMPUTING ETF ,, DROPBOX INC-CLASS A ,, BOX INC - CLASS A ,, 21VIANET GROUP INC-ADR ,, ANAPLAN INC ,, 2U INC ,, FASTLY INC - CLASS A ,, CORNERSTONE ONDEMAND INC ,, MIMECAST LTD ,
TIGER 글로벌자원생산기업(합성 H),https://finance.naver.com/item/coinfo.nhn?code=276000,276000,미래에셋자산운용,0.400,143,7.33,18.03,25.34,23.84, 스왑(한국투자증권)_490198 ,, 스왑(메리츠증권)_490198 ,, FLEXSHARES GLOBAL UPSTREAM N ,, 설정현금액 ,, 원화현금 ,
TIGER 글로벌4차산업혁신기술(합성 H),https://finance.naver.com/item/coinfo.nhn?code=275980,275980,미래에셋자산운용,0.400,2550,-2.57,9.46,19.91,35.02, 스왑(한국투자증권)_490199 ,, 스왑(메리츠증권)_490199 ,, ISHARES EXPONENTIAL TECH ETF ,, 설정현금액 ,, 원화현금 ,
TIGER 국채선물3년인버스,https://finance.naver.com/item/coinfo.nhn?code=302170,302170,미래에셋자산운용,0.070,70,0.05,0.10,0.45,-0.06, 3년국채    F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 국채선물10년인버스,https://finance.naver.com/item/coinfo.nhn?code=302180,302180,미래에셋자산운용,0.070,58,1.33,2.26,4.29,4.11, 10년국채   F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 국채3년,https://finance.naver.com/item/coinfo.nhn?code=114820,114820,미래에셋자산운용,0.150,633,-0.03,0.07,-0.07,1.00, 국고채권01000-2306(20-3) ,, 국고채권01125-2509(20-6) ,, 국고채권01250-2212(19-7) ,, 원화현금 ,
TIGER 구리실물,https://finance.naver.com/item/coinfo.nhn?code=160580,160580,미래에셋자산운용,0.830,124,23.90,34.57,39.75,55.95, 창고증권(구리) ,, 원화현금 ,
TIGER 골드선물(H),https://finance.naver.com/item/coinfo.nhn?code=319640,319640,미래에셋자산운용,0.390,243,-5.29,-3.36,-9.48,2.98, SPDR GOLD SHARES ,, GOLD 100 OZ FUTR  Apr21 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 경기방어채권혼합,https://finance.naver.com/item/coinfo.nhn?code=237440,237440,미래에셋자산운용,0.200,109,-2.07,-0.21,0.09,9.02, TIGER 경기방어 ,, TIGER 국채3년 ,, 한국전력 ,, LG유플러스 ,, KT ,, 셀트리온 ,, KT&G ,, 영진약품 ,, 유한양행 ,, 현대그린푸드 ,
TIGER 경기방어,https://finance.naver.com/item/coinfo.nhn?code=139280,139280,미래에셋자산운용,0.400,1158,-6.38,-0.98,-0.25,27.68, 셀트리온 ,20.98, LG생활건강 ,9.36, SK텔레콤 ,8.37, 삼성바이오로직스 ,7.42, KT&G ,5.46, 아모레퍼시픽 ,4.84, 한국전력 ,4.76, KT ,3.75, 이마트 ,2.23, LG유플러스 ,2.20
TIGER 가격조정,https://finance.naver.com/item/coinfo.nhn?code=217790,217790,미래에셋자산운용,0.290,55,-3.18,13.90,20.81,28.05, 효성화학 ,4.49, NAVER ,3.98, 화승엔터프라이즈 ,3.92, SK하이닉스 ,3.68, POSCO ,3.61, 더존비즈온 ,3.44, 코오롱글로벌 ,3.43, 한국금융지주 ,3.43, 하나금융지주 ,3.42, 한샘 ,3.41
TIGER 2차전지테마,https://finance.naver.com/item/coinfo.nhn?code=305540,305540,미래에셋자산운용,0.500,7454,-6.68,33.00,35.41,102.51, 포스코케미칼 ,12.63, SKC ,10.59, SK이노베이션 ,9.31, 삼성SDI ,8.97, LG화학 ,8.29, 일진머티리얼즈 ,6.66, 에코프로비엠 ,6.28, 솔브레인 ,5.74, 에코프로 ,5.33, 엘앤에프 ,5.01
TIGER 200TR,https://finance.naver.com/item/coinfo.nhn?code=310960,310960,미래에셋자산운용,0.090,613,-3.06,19.00,33.52,50.19, 삼성전자 ,32.07, SK하이닉스 ,6.54, NAVER ,3.91, LG화학 ,3.16, 삼성SDI ,2.87, 현대차 ,2.75, 셀트리온 ,2.60, 카카오 ,2.52, 기아차 ,1.65, 현대모비스 ,1.61
TIGER 200IT레버리지,https://finance.naver.com/item/coinfo.nhn?code=243880,243880,미래에셋자산운용,0.690,518,-13.34,70.29,118.31,133.74, TIGER 200 IT ,, 삼성전자 ,, LG디스플레이 ,, SK하이닉스 ,, LG전자 ,, LG ,, 삼성전기 ,, 삼성SDI ,, DB하이텍 ,, 삼성에스디에스 ,
TIGER 200커버드콜ATM,https://finance.naver.com/item/coinfo.nhn?code=289480,289480,미래에셋자산운용,0.380,64,-0.28,3.28,11.75,11.69, TIGER 200 ,24.42, 삼성전자 ,20.60, SK하이닉스 ,4.20, NAVER ,2.50, LG화학 ,2.03, 삼성SDI ,1.84, 현대차 ,1.78, 셀트리온 ,1.68, 카카오 ,1.60, 기아차 ,1.06
TIGER 200커버드콜5%OTM,https://finance.naver.com/item/coinfo.nhn?code=166400,166400,미래에셋자산운용,0.380,74,-2.34,5.11,17.45,18.62, 삼성전자 ,26.51, SK하이닉스 ,5.40, TIGER 200TR ,4.11, 마이다스 200커버드콜5%OTM ,3.76, NAVER ,3.22, LG화학 ,2.62, 삼성SDI ,2.35, 현대차 ,2.27, 셀트리온 ,2.14, 카카오 ,2.10
TIGER 200커뮤니케이션서비스,https://finance.naver.com/item/coinfo.nhn?code=315270,315270,미래에셋자산운용,0.400,135,2.61,18.76,10.14,61.76, 카카오 ,22.85, NAVER ,21.78, 엔씨소프트 ,18.39, SK텔레콤 ,13.19, 넷마블 ,8.34, KT ,5.88, LG유플러스 ,3.44, 빅히트 ,2.01, 제일기획 ,1.38, 이노션 ,0.91
TIGER 200에너지화학레버리지,https://finance.naver.com/item/coinfo.nhn?code=243890,243890,미래에셋자산운용,0.690,197,-15.77,40.90,74.58,201.24, TIGER 200 에너지화학 ,, 한화솔루션 ,, SK이노베이션 ,, 후성 ,, GS ,, 한화 ,, S-Oil ,, SK ,, 휴켐스 ,, SKC ,
TIGER 200선물인버스2X,https://finance.naver.com/item/coinfo.nhn?code=252710,252710,미래에셋자산운용,0.090,1195,5.37,-32.18,-47.56,-66.49, TIGER 인버스 ,, 코스피200 F 202103 ,, TIGER 200 ,, 설정현금액 ,, 원화현금 ,
TIGER 200선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=267770,267770,미래에셋자산운용,0.090,1216,-7.54,36.77,70.09,98.10, TIGER 200 ,, KBSTAR 200선물레버리지 ,, TIGER 레버리지 ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 200동일가중,https://finance.naver.com/item/coinfo.nhn?code=252000,252000,미래에셋자산운용,0.250,65,-2.83,15.63,27.12,48.59, 세방전지 ,0.93, OCI ,0.82, F&F ,0.75, 동원시스템즈 ,0.74, DB하이텍 ,0.71, 현대위아 ,0.70, 한화시스템 ,0.69, LG전자 ,0.69, 포스코인터내셔널 ,0.68, 일진머티리얼즈 ,0.67
TIGER 200 IT,https://finance.naver.com/item/coinfo.nhn?code=139260,139260,미래에셋자산운용,0.400,8753,-6.41,31.66,50.16,63.88, SK하이닉스 ,22.53, 삼성SDI ,19.95, 삼성전자 ,18.62, LG전자 ,11.40, 삼성전기 ,7.54, LG ,6.07, 삼성에스디에스 ,4.66, LG디스플레이 ,3.67, LG이노텍 ,2.03, DB하이텍 ,1.42
TIGER 200 헬스케어,https://finance.naver.com/item/coinfo.nhn?code=227540,227540,미래에셋자산운용,0.400,229,-12.78,-12.99,-13.12,47.31, 셀트리온 ,22.26, 삼성바이오로직스 ,20.81, 유한양행 ,8.58, 신풍제약 ,7.60, 한미약품 ,6.43, SK바이오팜 ,5.35, 녹십자 ,5.29, 부광약품 ,3.66, 한미사이언스 ,3.65, 종근당 ,3.17
TIGER 200 철강소재,https://finance.naver.com/item/coinfo.nhn?code=139240,139240,미래에셋자산운용,0.400,46,2.21,18.72,36.43,31.48, 현대제철 ,21.57, POSCO ,20.51, 고려아연 ,16.11, 풍산 ,10.78, 동국제강 ,9.86, 남선알미늄 ,6.09, KG동부제철 ,5.39, 동원시스템즈 ,3.94, 영풍 ,3.54, 원화현금 ,2.22
TIGER 200 중공업,https://finance.naver.com/item/coinfo.nhn?code=139230,139230,미래에셋자산운용,0.400,159,-3.63,-2.28,19.74,18.98, 한국조선해양 ,21.15, 삼성중공업 ,13.85, 현대중공업지주 ,11.57, 두산중공업 ,9.44, 두산밥캣 ,7.09, 현대엘리베이 ,6.37, 현대미포조선 ,5.97, 씨에스윈드 ,5.93, 현대로템 ,5.90, 대우조선해양 ,5.67
TIGER 200 에너지화학,https://finance.naver.com/item/coinfo.nhn?code=139250,139250,미래에셋자산운용,0.400,410,-8.02,18.86,34.19,89.25, SK이노베이션 ,18.34, LG화학 ,17.74, SK ,12.30, 한화솔루션 ,7.44, 롯데케미칼 ,6.94, 금호석유 ,5.07, S-Oil ,4.82, SK케미칼 ,3.89, OCI ,3.16, SKC ,3.11
TIGER 200 생활소비재,https://finance.naver.com/item/coinfo.nhn?code=227560,227560,미래에셋자산운용,0.400,41,-4.01,8.19,9.07,16.79, LG생활건강 ,17.76, KT&G ,13.62, 아모레퍼시픽 ,12.13, 한국전력 ,11.90, 이마트 ,5.66, CJ제일제당 ,5.30, 오리온 ,4.64, 아모레G ,2.84, CJ ,2.14, 동서 ,2.07
TIGER 200 산업재,https://finance.naver.com/item/coinfo.nhn?code=227550,227550,미래에셋자산운용,0.400,41,-1.00,20.92,48.50,43.57, 대한항공 ,20.06, HMM ,14.48, 현대글로비스 ,10.69, 한국항공우주 ,6.86, 에스원 ,5.92, CJ대한통운 ,5.37, 팬오션 ,3.78, 한화에어로스페이스 ,3.75, LS ,3.52, 한진칼 ,3.41
TIGER 200 금융,https://finance.naver.com/item/coinfo.nhn?code=139270,139270,미래에셋자산운용,0.400,269,0.88,-0.48,17.91,12.85, KB금융 ,18.60, 신한지주 ,16.60, 하나금융지주 ,12.37, 삼성생명 ,7.77, 삼성화재 ,6.62, 우리금융지주 ,6.32, 한국금융지주 ,4.38, 미래에셋대우 ,4.02, 삼성증권 ,2.74, 기업은행 ,2.58
TIGER 200 경기소비재,https://finance.naver.com/item/coinfo.nhn?code=139290,139290,미래에셋자산운용,0.400,71,-8.54,21.06,35.65,48.35, 현대차 ,20.79, 기아차 ,17.49, 현대모비스 ,17.18, 삼성물산 ,10.56, 한온시스템 ,3.61, 코웨이 ,3.18, 한국타이어앤테크놀로지 ,3.01, 강원랜드 ,2.68, 호텔신라 ,2.18, 만도 ,1.77
TIGER 200 건설,https://finance.naver.com/item/coinfo.nhn?code=139220,139220,미래에셋자산운용,0.400,230,-3.04,25.17,34.83,36.73, 포스코케미칼 ,22.09, 현대건설 ,15.23, GS건설 ,10.70, 삼성엔지니어링 ,9.87, DL이앤씨 ,8.58, 대우건설 ,6.10, HDC현대산업개발 ,5.67, DL ,5.25, 아이에스동서 ,3.95, 쌍용양회 ,3.67
TIGER 200,https://finance.naver.com/item/coinfo.nhn?code=102110,102110,미래에셋자산운용,0.050,25776,-3.00,18.82,33.34,50.14, 삼성전자 ,31.72, SK하이닉스 ,6.47, NAVER ,3.87, LG화학 ,3.12, 삼성SDI ,2.82, 현대차 ,2.73, 셀트리온 ,2.57, 카카오 ,2.49, 기아차 ,1.63, POSCO ,1.59
SMART KRX300,https://finance.naver.com/item/coinfo.nhn?code=292500,292500,신한자산운용,0.050,514,-4.25,17.46,30.96,48.76, 삼성전자 ,29.52, SK하이닉스 ,6.02, NAVER ,3.59, LG화학 ,2.91, 삼성SDI ,2.64, 현대차 ,2.54, 셀트리온 ,2.35, 카카오 ,2.32, 기아차 ,1.51, 현대모비스 ,1.49
SMART KIS단기통안채,https://finance.naver.com/item/coinfo.nhn?code=363510,363510,신한자산운용,0.130,263,0.05,0.14,,, 통화안정증권00590-2107-01 ,, 통화안정증권00700-2109-01 ,, 통화안정증권00720-2105-01 ,, 통화안정증권01180-2108-02 ,, 통화안정증권01585-2106-02 ,, 통화안정증권01740-2104-02 ,, 설정현금액 ,, 원화현금 ,
SMART 중국본토 중소형 CSI500(합성 H),https://finance.naver.com/item/coinfo.nhn?code=220130,220130,신한자산운용,0.600,96,-2.37,2.99,5.32,20.65, 스왑(미래에셋대우) ,, 설정현금액 ,, 원화현금 ,
SMART 선진국MSCI World(합성 H),https://finance.naver.com/item/coinfo.nhn?code=208470,208470,신한자산운용,0.350,100,0.03,5.57,12.26,19.29, 스왑(미래에셋대우) ,, 설정현금액 ,, 원화현금 ,
SMART 200TR,https://finance.naver.com/item/coinfo.nhn?code=295040,295040,신한자산운용,0.050,4649,-2.99,19.16,33.84,50.03, 삼성전자 ,32.12, SK하이닉스 ,6.55, NAVER ,3.91, LG화학 ,3.14, 삼성SDI ,2.87, 현대차 ,2.76, 셀트리온 ,2.60, 카카오 ,2.52, 기아차 ,1.65, 현대모비스 ,1.62
KTOP 코스피50,https://finance.naver.com/item/coinfo.nhn?code=168300,168300,하나UBS자산운용,0.300,148,-3.65,19.17,33.77,50.32, 삼성전자 ,31.07, SK하이닉스 ,8.38, NAVER ,5.01, LG화학 ,4.07, 삼성SDI ,3.60, 현대차 ,3.54, 카카오 ,3.26, 셀트리온 ,3.25, 기아차 ,2.10, 현대모비스 ,2.09
KOSEF KRX100,https://finance.naver.com/item/coinfo.nhn?code=100910,100910,키움투자자산운용,0.230,119,-4.12,18.08,29.87,46.10, 삼성전자 ,27.12, SK하이닉스 ,7.65, NAVER ,4.57, LG화학 ,3.68, 삼성SDI ,3.36, 현대차 ,3.22, 셀트리온 ,3.04, 카카오 ,2.95, 기아차 ,1.93, 현대모비스 ,1.89
KOSEF Fn중소형,https://finance.naver.com/item/coinfo.nhn?code=331910,331910,키움투자자산운용,0.300,159,0.27,18.27,27.06,48.56, 동방 ,1.96, 포스코강판 ,1.72, 현대비앤지스틸 ,1.70, 유니온 ,1.42, 락앤락 ,1.30, 덕양산업 ,1.29, 유니드 ,1.23, 인스코비 ,1.22, 한솔케미칼 ,1.22, 영원무역 ,1.19
KOSEF 통안채1년,https://finance.naver.com/item/coinfo.nhn?code=122260,122260,키움투자자산운용,0.150,475,0.09,0.28,0.37,1.19, 통화안정증권00690-2111-01 ,, 통화안정증권00740-2206-02 ,, 통화안정증권01030-2204-02 ,, 통화안정증권01285-2202-02 ,, 통화안정증권01400-2112-02 ,, 설정현금액 ,, 원화현금 ,
KOSEF 코스피100,https://finance.naver.com/item/coinfo.nhn?code=153270,153270,키움투자자산운용,0.195,153,-3.81,18.23,31.98,48.12, 삼성전자 ,31.82, SK하이닉스 ,7.27, NAVER ,4.35, LG화학 ,3.52, 삼성SDI ,3.17, 현대차 ,3.08, 셀트리온 ,2.89, 카카오 ,2.83, 기아차 ,1.83, 현대모비스 ,1.80
KOSEF 코스닥150선물인버스,https://finance.naver.com/item/coinfo.nhn?code=291620,291620,키움투자자산운용,0.090,47,11.35,-3.87,-6.91,-37.82, 코스닥150 F 202103 ,, 설정현금액 ,, 원화현금 ,
KOSEF 코스닥150선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=291630,291630,키움투자자산운용,0.090,69,-21.58,2.53,2.07,71.04, 코스닥150 F 202103 ,, 설정현금액 ,, 원화현금 ,
KOSEF 코스닥150선물,https://finance.naver.com/item/coinfo.nhn?code=291610,291610,키움투자자산운용,0.090,42,-11.21,2.32,3.21,40.35, 코스닥150 F 202103 ,, 설정현금액 ,, 원화현금 ,100.00
KOSEF 코스닥150,https://finance.naver.com/item/coinfo.nhn?code=316670,316670,키움투자자산운용,0.150,222,-10.22,3.16,3.44,40.28, 셀트리온헬스케어 ,11.60, 에이치엘비 ,2.89, 알테오젠 ,2.46, 셀트리온제약 ,2.46, 씨젠 ,2.08, 제넥신 ,1.82, 현대바이오 ,1.71, 펄어비스 ,1.68, 원익IPS ,1.59, 케이엠더블유 ,1.53
KOSEF 저PBR가중,https://finance.naver.com/item/coinfo.nhn?code=260270,260270,키움투자자산운용,0.400,55,-0.25,21.16,39.07,52.11, 한화생명 ,3.72, 태광산업 ,2.76, 넥센타이어 ,2.54, 기업은행 ,2.51, HDC ,2.13, 우리금융지주 ,2.05, BNK금융지주 ,1.99, 현대제철 ,1.88, 포스코인터내셔널 ,1.76, 현대해상 ,1.75
